Time,AccX,AccY,AccZ,GyrX,GyrY,GyrZ
2,0.01,0,1,0,0,0
9,0.01,0,1,0,0,0
17,0.01,0,1,0,0,0
24,0.01,0,1,0,0,0
32,0.01,-0.01,1,0,0,0
40,0.01,-0.01,1,0,0,0
48,0.01,-0.01,1,0,0,0
56,0.01,-0.01,1,0,0,0
63,0.01,-0.01,1,0,0,0
71,0.01,0,1,0,0,0
79,0.01,0,1,0,0,0
87,0.01,0,1,0,0,0
94,0.01,-0.01,1,0,0,0
102,0.01,0,1,0,0,0
110,0.01,-0.01,1,0,0,0
117,0.01,-0.01,1,0,0,0
126,0.01,-0.01,1,0,0,0
134,0.01,0,1,0,0,0
141,0.01,0,1,0,0,0
149,0.01,-0.01,1,0,0,0
156,0.01,0,1,0,0,0
165,0.01,-0.01,1,0,0,0
173,0.01,-0.01,1,0,0,0
180,0.01,-0.01,1,0,0,0
188,0.01,-0.01,1,0,0,0
196,0.01,-0.01,1,0,0,0
203,0.01,0,1,0,0,0
212,0.01,0,1,0,0,0
219,0.01,0,1,0,0,0
227,0.01,-0.01,1,0,0,0
235,0.01,-0.01,1,0,0,0
242,0.01,-0.01,1,0,0,0
251,0.01,-0.01,1,0,0,0
259,0.01,-0.01,1,0,0,0
266,0.01,-0.01,1,0,0,0
274,0.01,-0.01,1,0,0,0
282,0.01,-0.01,1,0,0,0
289,0.01,-0.01,1,0,0,0
298,0.01,-0.01,1,0,0,0
305,0.01,-0.01,1,0,0,0
313,0.01,-0.01,1,0,0,0
321,0.01,-0.01,1,0,0,0
328,0.01,-0.01,1,0,0,0
337,0.01,-0.01,1,0,0,0
345,0.01,-0.01,1,0,0,0
352,0.01,-0.01,1,0,0,0
360,0.01,0,1,0,0,0
367,0.01,0,1,0,0,0
375,0.01,0,1,0,0,0
384,0.01,0,1,0,0,0
391,0.01,0,1,0,0,0
399,0.01,0,1,0,0,0
407,0.01,0,1,0,0,0
414,0.01,0,1,0,0,0
423,0.01,0,1,0,0,0
430,0.01,0,1,0,0,0
438,0.01,0,1,0,0,0
446,0.01,0,1,0,0,0
453,0.01,0,1,0,0,0
461,0.01,0,1,0,0,0
470,0.01,0,1,0,0,0
477,0.01,0,1,0,0,0
485,0.01,0,1,0,0,0
492,0.01,0,1,0,0,0
500,0.01,0,1,0,0,0
509,0.01,-0.01,1,0,0,0
516,0.01,0,1,0,0,0
524,0.01,0,1,0,0,0
532,0.01,0,1,0,0,0
539,0.01,0,1,0,0,0
547,0.01,0,1,0,0,0
